City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
242,rabo de peixe,37.8,-25.5833,22.73,78,75,2.06,PT,1692518155
243,wanning,18.8003,110.3967,31.72,60,98,4.15,CN,1692518155
244,xunchang,28.4543,104.715,26.72,79,100,2.93,CN,1692518155
245,la passe,45.5549,-0.8967,24.45,50,5,4.42,FR,1692518155
246,fuerte olimpo,-21.0415,-57.8738,18.95,97,20,2.62,PY,1692518156
247,kavieng,-2.5744,150.7967,27.4,78,3,4.44,PG,1692518156
248,lerwick,60.1545,-1.1494,15.0,86,51,2.57,GB,1692518156
249,susuman,62.7833,148.1667,6.74,94,100,1.68,RU,1692518117
250,ivdel',60.6911,60.4206,17.95,40,97,1.51,RU,1692518156
251,coldwater,41.9403,-85.0005,19.94,82,0,2.06,US,1692518157
252,jabal os saraj,35.1183,69.2378,32.58,21,0,2.59,AF,1692518157
253,port saint john's,-31.6229,29.5448,21.04,52,0,0.63,ZA,1692518157
254,callao,-12.0667,-77.15,20.16,68,20,3.09,PE,1692518157
255,vorgashor,67.5833,63.95,9.36,73,98,4.99,RU,1692518157
256,dobryanka,58.4619,56.4165,15.83,47,100,1.89,RU,1692517976
257,rio de janeiro,-22.9028,-43.2075,21.0,94,75,1.54,BR,1692518158
258,nikel,69.4128,30.222,9.1,69,100,7.54,RU,1692518158
259,olinda,-8.0089,-34.8553,22.85,100,100,2.06,BR,1692518158
260,luwuk,-0.9516,122.7875,28.18,64,18,4.39,ID,1692518158
261,doume,4.2333,13.45,25.02,76,100,1.32,CM,1692518159
262,ceeldheer,3.8488,47.1806,30.59,56,90,9.54,SO,1692518159
263,mount gambier,-37.8333,140.7667,12.04,95,100,3.11,AU,1692518159
264,puyo,-1.4667,-77.9833,17.95,96,61,1.73,EC,1692518159
265,vordingborg,55.008,11.9106,19.43,82,0,4.57,DK,1692518050
266,constitucion,-35.3333,-72.4167,13.24,99,100,3.23,CL,1692518135
267,glace bay,46.1969,-59.957,18.77,94,75,3.6,CA,1692518160
268,chifeng,42.2683,118.9636,34.1,18,6,7.16,CN,1692518093
269,lorengau,-2.0226,147.2712,26.66,82,99,6.07,PG,1692518160
270,happy valley-goose bay,53.3168,-60.3315,19.17,82,40,2.57,CA,1692518160
271,dadukou,26.5479,101.7054,28.42,70,100,1.27,CN,1692518161
272,nova vicosa,-17.8919,-39.3719,22.18,84,8,5.13,BR,1692518161
273,kachug,53.9606,105.8817,16.87,53,97,4.17,RU,1692518161
274,saynshand,44.8824,110.1163,24.91,30,69,11.84,MN,1692518161
275,keflavik,64.0049,-22.5624,11.24,87,0,8.23,IS,1692518162
276,homer,59.6425,-151.5483,12.93,78,0,0.0,US,1692518162
277,port alfred,-33.5906,26.891,17.88,75,0,1.34,ZA,1692518162
278,cabo san lucas,22.8909,-109.9124,27.51,86,100,1.34,MX,1692517548
279,hotan,37.0997,79.9269,35.34,10,0,3.54,CN,1692518163
280,vilhena,-12.7406,-60.1458,20.66,61,6,1.71,BR,1692517864
281,fale old settlement,-9.3852,-171.2468,28.3,78,21,8.08,TK,1692518164
282,rosetta,31.4044,30.4164,27.98,61,1,3.94,EG,1692518020
283,gardnerville,38.9413,-119.7496,18.92,87,100,2.06,US,1692518087
284,pacific grove,36.6177,-121.9166,17.46,90,100,1.34,US,1692518164
285,sao vicente,-23.9631,-46.3919,22.21,26,100,0.45,BR,1692518164
286,north platte,41.1239,-100.7654,22.29,82,0,7.6,US,1692518165
287,lloydminster,53.2835,-110.0016,7.12,81,0,3.6,CA,1692518165
288,mount pearl,47.5166,-52.7813,17.14,96,100,8.75,CA,1692518165
289,tamanrasset,22.785,5.5228,28.95,21,0,7.72,DZ,1692518165
290,trail,49.0998,-117.7022,13.32,43,0,1.84,CA,1692518064
291,kandyagash,49.4744,57.4233,32.26,24,9,4.02,KZ,1692518166
292,bubaque,11.2833,-15.8333,25.74,90,100,8.58,GW,1692518166
293,torghay,49.6339,63.4981,34.43,16,42,1.35,KZ,1692518167
294,nemuro,43.3236,145.575,20.03,100,99,3.22,JP,1692518167
295,manikpur,25.0667,81.1167,34.02,55,89,3.52,IN,1692518167
296,ponoka,52.6768,-113.5815,6.99,80,0,2.87,CA,1692518167
297,barah,13.7,30.3667,33.99,38,40,5.61,SD,1692518168
298,newport,51.5877,-2.9984,18.58,84,40,3.5,GB,1692518168
299,tuy hoa,13.0833,109.3,30.12,69,98,4.02,VN,1692518168
300,san pedro pochutla,15.7333,-96.4667,24.84,86,61,2.11,MX,1692518087
301,georgetown,5.4112,100.3354,30.96,70,40,2.57,MY,1692517955
302,kimbe,-5.5502,150.1429,24.45,82,24,3.8,PG,1692518169
303,ha tinh,18.3333,105.9,32.89,64,100,4.1,VN,1692518169
304,ust'-ilimsk,58.0006,102.6619,12.89,96,100,2.6,RU,1692517899
305,ritchie,-29.038,24.6028,14.56,19,1,3.85,ZA,1692518170
306,urucara,-2.5364,-57.76,22.85,63,32,1.01,BR,1692518170
307,xudat,41.631,48.681,31.27,34,0,5.18,AZ,1692518170
308,larkird,35.4894,66.6641,29.28,15,0,3.71,AF,1692518170
309,murshidabad,24.1833,88.2667,32.86,61,96,4.87,IN,1692518170
310,general mosconi,-23.1851,-62.303,16.12,84,0,2.26,AR,1692518171
311,mongoumba,3.6415,18.5936,24.27,89,100,0.59,CF,1692518171
312,birobidzhan,48.8,132.95,24.44,66,0,3.79,RU,1692518171
313,darwin,-12.4611,130.8418,30.5,36,0,6.17,AU,1692517857
314,bodo,67.28,14.405,19.41,60,0,8.75,NO,1692518172
315,guerrero negro,27.9769,-114.0611,26.4,73,100,24.47,MX,1692518172
316,saint-joseph,-21.3667,55.6167,24.71,68,0,1.83,RE,1692518172
317,vadso,70.0744,29.7487,10.09,76,100,4.12,NO,1692518172
318,konstantinovka,49.6167,127.9833,24.72,65,48,7.64,RU,1692518173
319,antsiranana,-12.2787,49.2917,29.42,51,40,5.14,MG,1692518173
320,acajutla,13.5928,-89.8275,26.63,73,96,2.81,SV,1692518173
321,dryden,49.7833,-92.7503,16.16,82,40,2.57,CA,1692518173
322,uitenhage,-33.7576,25.3971,17.45,47,0,1.56,ZA,1692518173
323,hilo,19.7297,-155.09,25.85,80,100,1.54,US,1692518174
324,penhalonga,-18.8911,32.6978,26.76,23,4,0.26,ZW,1692518174
325,kapa'a,22.0752,-159.319,27.18,84,20,6.69,US,1692518174
326,wang saphung,17.301,101.7685,33.01,66,75,4.12,TH,1692518174
327,banca,46.3,27.8,32.93,25,0,3.72,RO,1692518174
328,tarko-sale,64.9225,77.785,9.49,89,100,7.42,RU,1692518175
329,alaghsas,17.0187,8.0168,32.94,38,19,1.54,NE,1692518175
330,berezovyy,51.6667,135.7,25.76,43,29,4.11,RU,1692518175
331,terre haute,39.4667,-87.4139,20.47,91,0,0.0,US,1692518175
332,port lincoln,-34.7333,135.8667,14.77,76,100,5.03,AU,1692518176
333,choibalsan,48.0667,114.5,19.71,52,100,4.03,MN,1692518086
334,afaahiti,-17.75,-149.2833,23.93,77,31,4.97,PF,1692518176
335,jumla,29.2747,82.1838,24.63,70,68,2.48,NP,1692518176
336,moranbah,-22.0016,148.0466,19.25,24,0,4.48,AU,1692518176
337,cabedelo,-6.9811,-34.8339,23.37,87,48,3.19,BR,1692518177
338,djibo,14.1022,-1.6306,29.3,61,58,5.57,BF,1692518177
339,kalemie,-5.9475,29.1947,27.74,46,33,4.53,CD,1692518177
340,belaya kholunitsa,58.84,50.8528,16.99,48,100,2.1,RU,1692518177
341,ola,59.5833,151.2833,12.86,90,100,6.95,RU,1692518178
342,kasongo-lunda,-6.4667,16.8167,31.1,40,21,0.34,CD,1692518178
343,turpan,42.9333,89.1667,39.84,9,0,1.41,CN,1692518178
344,quellon,-43.1167,-73.6167,9.14,93,100,5.66,CL,1692518119
345,red bluff,40.1785,-122.2358,27.38,57,0,0.0,US,1692518179
346,brookings,44.3114,-96.7984,19.54,65,0,4.12,US,1692518179
347,aginskoye,51.1,114.53,21.41,33,61,6.83,RU,1692518179
348,mar del plata,-38.0023,-57.5575,7.83,88,80,4.02,AR,1692518179
349,pailon,-17.65,-62.75,19.5,88,0,1.05,BO,1692518179
350,valparaiso,-33.0393,-71.6273,15.56,92,75,1.54,CL,1692518180
351,grootfontein,-19.5667,18.1167,19.76,18,4,2.06,,1692518180
352,rio gallegos,-51.6226,-69.2181,3.03,93,100,4.63,AR,1692518180
353,sao tome,0.3365,6.7273,25.02,88,75,2.57,ST,1692518180
354,tavda,58.0425,65.2726,18.79,39,100,2.28,RU,1692518181
355,divnogorsk,55.9594,92.3619,19.27,59,81,3.28,RU,1692518181
356,broome,42.2506,-75.833,13.91,93,87,0.45,US,1692518181
357,yueyang,29.3333,113.0919,35.32,44,46,0.86,CN,1692518181
358,miyako,39.6367,141.9525,27.72,89,55,1.9,JP,1692518182
359,sandur,15.1,76.55,30.35,50,45,7.94,IN,1692518182
360,nadi,-17.8,177.4167,27.0,74,40,1.54,FJ,1692518182
361,tshela,-4.9833,12.9333,22.74,79,100,1.36,CD,1692518183
362,laascaanood,8.4774,47.3597,31.65,33,99,11.16,SO,1692518183
363,puerto lempira,15.2667,-83.7667,26.4,83,6,2.43,HN,1692518183
